SubjectID	Sex	Ethnicity	Age	Raised	Nearest city	II.1	II.2	II.3	II.3a	II.3b	II.4	II.5	II.5a	II.6	II.7	III.1	III.2	III.3	III.4	III.5	III.6	III.7	III.8	III.9	III.10
143	f	white	23	South NJ	New York	l	s	z (h)	hoagies are from wawa	s	w	2	no	b	d	n	y	y	n	n	n	n	y	y	n
144	f	white	20	Brooklyn, NY	New York	2	s	z (r)	no	s	w	2	no	b	d	y	y	y	n	n	y	n	n	y	n
145	f	white	19	Texas	Austin	f	s	s		s	w	2	no	b	d	y	y	y	n	n	y	n	n	y	n
146	f	white	18	Chicago, IL	Chicago	f	s	s		s	w	f		b	d	n	y	y	n	n	n	n	n	y	n
147	m	white	23	Winwood,pa	Philadelphia	l	s	h			w	i		b	d	y	y	y	y	n	y	n	n	y	n
148	m	white	21	Pennsauken, NJ	Philadelphia	f	s	h			w	i		b	d	N	N	N	N	N	N	N	N	N	N
149	f	white	56	Philadelphia	Philadelphia	l	f	g			w	f		b	d	n	y	y	n	n	n	n	n	n	n
150	m	black	26	philadelphia	philadelphia	f	s	g			w	i		b	d	n	n	n	y	n	y	n	n	y	n
151	m	white	20	philadelphia	philadelphia	f	s	g			w	i		b	d	n	n	n	n	n	n	n	n	n	n
152	m	white	22	tunkhannock	Wilkes-barre	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
153	m	white	21	tunkhannock	Wilkes-barre	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
154	m	white	18	tunkhannock	Wilkes-barre	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
155	m	white	19	NY	NY	f	s	r			w	f		b	d	n	n	n	n	n	n	n	n	n	n
156	m	white	25	NY	NY	f	s	r			w	f		b	d	y	n	n	n	n	n	n	n	y	n
157	m	white	20	NY	NY	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
158	m	white	20	NY	NY	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
159	m	white	22	NY	NY	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
160	m	white	21	NY	NY	f	s	r			w	i		b	d	n	n	n	n	n	n	n	n	n	n
